bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,year,month,Actual_Price,Predicted_Price
4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,0,Kenmore,WA 98028,2014,5,563000.0,656337.1124138001
2.0,1.75,2080,4800,1.0,0,0,5,1080,1000,1923,0,Seattle,WA 98117,2014,5,740000.0,544140.33888889
4.0,1.5,1800,3245,1.5,0,0,4,1800,0,1929,0,Seattle,WA 98103,2014,6,875000.0,607635.58
2.0,1.0,710,1173,2.0,0,0,4,710,0,1943,0,Seattle,WA 98102,2014,5,402000.0,387178.4
3.0,1.75,1540,10800,1.0,0,0,5,770,770,1947,0,Mercer Island,WA 98040,2014,6,500000.0,654619.5
3.0,1.75,1390,10905,1.0,0,0,3,860,530,1957,2000,Seattle,WA 98106,2014,5,270000.0,295371.9275
5.0,1.75,1650,3000,1.5,0,0,3,1650,0,1902,0,Seattle,WA 98144,2014,7,443000.0,536526.1
4.0,2.0,1350,942,3.0,0,0,3,1350,0,2008,0,Issaquah,WA 98029,2014,6,288790.0,357345.23
3.0,2.25,1450,19206,2.0,0,0,3,1450,0,1989,0,Sammamish,WA 98074,2014,7,410000.0,454747.7
3.0,2.25,2130,8721,1.0,0,0,3,1570,560,1987,2000,Kent,WA 98031,2014,6,316000.0,286900.96589285
3.0,2.5,2090,7640,1.0,0,0,3,1360,730,1962,2014,Shoreline,WA 98133,2014,5,543000.0,407044.2
4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007,Seattle,WA 98103,2014,5,875000.0,682135.46285713
2.0,1.0,800,6500,1.0,0,0,4,800,0,1953,1983,Shoreline,WA 98133,2014,7,295000.0,268992.9
3.0,1.75,1660,6250,1.0,0,0,3,830,830,1980,0,Seattle,WA 98116,2014,7,410000.0,428171.76000000996
3.0,2.5,2600,5540,2.0,0,0,3,2600,0,2004,2003,Maple Valley,WA 98038,2014,6,355500.0,417155.99
4.0,1.75,1440,13296,1.0,0,0,4,1440,0,1967,0,Bellevue,WA 98004,2014,7,1038000.0,828704.63333333
3.0,1.0,1430,19901,1.5,0,0,4,1430,0,1927,0,Kenmore,WA 98028,2014,5,310000.0,283952.875
3.0,2.5,1450,5008,1.0,0,0,3,840,610,2007,0,Seattle,WA 98106,2014,5,330000.0,327378.11666667
2.0,1.0,1500,4120,1.5,0,0,3,880,620,1928,1954,Renton,WA 98057,2014,5,156766.666667,228874.60555556
3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,Seattle,WA 98115,2014,5,750000.0,627140.63
4.0,2.75,2140,10316,2.0,0,0,3,2140,0,1993,0,Auburn,WA 98001,2014,6,359500.0,339472.3432143
3.0,2.5,1040,2643,2.0,0,0,3,720,320,2004,2003,Seattle,WA 98118,2014,5,210000.0,322196.93007327995
4.0,2.5,1820,20011,2.0,0,0,3,1820,0,1987,2000,Sammamish,WA 98075,2014,7,673476.818182,549581.06
3.0,1.0,1040,8892,1.0,0,0,4,800,240,1958,1972,Federal Way,WA 98023,2014,7,182805.0,180480.2
4.0,2.75,3010,15992,2.0,0,0,3,3010,0,1996,0,Sammamish,WA 98075,2014,6,775000.0,721039.0974190199
3.0,1.5,1420,4500,1.0,0,0,3,1420,0,1959,1989,Seattle,WA 98103,2014,6,371000.0,438277.38460319
3.0,1.75,1490,8366,1.0,0,0,4,1010,480,1975,0,Covington,WA 98042,2014,5,234000.0,232081.32833333
2.0,1.0,1030,4400,1.0,0,0,3,1030,0,1924,2011,Seattle,WA 98117,2014,5,469000.0,522258.01851852
2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,2003,Seattle,WA 98112,2014,5,460000.0,474757.2
2.0,1.0,750,5120,1.0,0,0,4,750,0,1941,1998,Seattle,WA 98126,2014,6,300000.0,276131.40451506997
5.0,2.5,3260,24300,1.5,0,1,4,2310,950,1950,1983,Lake Forest Park,WA 98155,2014,6,755000.0,502175.68923077005
4.0,2.5,2210,8465,1.0,0,0,3,1490,720,1990,2009,Auburn,WA 98092,2014,6,294000.0,274095.50535714
3.0,2.0,1400,7384,1.0,0,0,3,1150,250,1979,2014,Renton,WA 98058,2014,5,225000.0,246201.64666666
5.0,3.5,3880,13885,2.0,0,3,4,2540,1340,1979,0,Bellevue,WA 98006,2014,6,1126000.0,900915.83333333
4.0,2.75,2240,27820,1.5,0,0,4,2240,0,1976,1992,Sammamish,WA 98075,2014,6,580379.0,617540.30666666
3.0,3.25,2170,12508,1.5,0,0,5,1650,520,1928,1970,Mercer Island,WA 98040,2014,5,876650.0,738142.91
3.0,2.0,1370,78408,1.0,0,0,5,1370,0,1964,0,Covington,WA 98042,2014,5,83300.0,278949.76541666
4.0,2.5,2490,12929,2.0,0,0,3,2490,0,1983,2009,Sammamish,WA 98074,2014,6,616000.0,606481.42886364
5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,Bothell,WA 98011,2014,5,470000.0,384644.03857141006
4.0,3.5,3810,9792,2.0,0,0,3,3810,0,1938,2013,Seattle,WA 98146,2014,6,825000.0,744510.92111111
3.0,1.75,1290,3870,1.0,0,0,5,1290,0,1916,0,Seattle,WA 98144,2014,6,647500.0,441406.625
4.0,2.25,1820,8255,1.5,0,0,4,1320,500,1930,0,Seattle,WA 98133,2014,6,399888.0,600929.1
4.0,2.0,1480,3132,1.0,0,0,5,740,740,1910,0,Seattle,WA 98108,2014,5,335000.0,481268.16846154
3.0,1.0,1150,4945,1.0,0,2,3,1150,0,1943,2002,Seattle,WA 98126,2014,5,480000.0,344174.4196429
2.0,1.0,820,10450,1.0,0,0,4,820,0,1965,0,Renton,WA 98055,2014,6,173000.0,225098.0
2.0,1.0,880,7683,1.0,0,0,3,880,0,1942,1999,Seattle,WA 98177,2014,5,326100.0,255681.06000000998
3.0,2.0,1470,10052,1.0,0,0,4,1470,0,1956,0,Seattle,WA 98125,2014,7,480000.0,425776.91666667
2.0,1.0,970,3400,1.0,0,0,3,970,0,1924,2011,Seattle,WA 98109,2014,6,546000.0,439278.01851852
3.0,2.5,2060,5750,1.0,0,0,3,1330,730,1976,0,Seattle,WA 98116,2014,6,577000.0,483743.13
5.0,4.5,4030,13474,2.0,0,0,3,4030,0,2000,0,Sammamish,WA 98075,2014,7,989000.0,820548.45
2.0,1.0,1060,8187,1.0,0,0,4,1060,0,1952,0,Shoreline,WA 98133,2014,5,254000.0,285288.735
3.0,2.0,1760,6428,1.0,0,0,4,980,780,1942,1982,Seattle,WA 98199,2014,5,690000.0,582498.2
2.0,1.0,760,5500,1.5,0,0,3,760,0,1947,2012,Seattle,WA 98168,2014,6,163785.714286,331369.05705129
2.0,2.0,1240,2500,2.0,0,0,3,1240,0,1985,0,Seattle,WA 98117,2014,7,445000.0,464323.3968254
5.0,2.75,2740,5616,1.5,0,0,5,1670,1070,1925,0,Seattle,WA 98115,2014,6,0.0,696940.0
3.0,2.5,1540,1326,3.0,0,0,3,1390,150,1995,0,Seattle,WA 98119,2014,7,499000.0,522800.53111111
3.0,2.25,1530,1245,2.0,0,0,3,1050,480,2014,0,Seattle,WA 98122,2014,6,465000.0,538537.3717948899
4.0,2.5,3330,7399,2.0,0,0,3,3330,0,2009,0,Redmond,WA 98052,2014,5,760000.0,785340.4575
5.0,1.75,2550,71874,1.0,0,0,5,1810,740,1960,0,Issaquah,WA 98027,2014,5,525888.0,494170.72047619
3.0,2.25,2120,15003,2.0,0,0,3,2120,0,1984,0,Renton,WA 98059,2014,5,345000.0,384890.13083333
4.0,2.5,3350,35298,2.0,0,0,4,3350,0,1985,0,Redmond,WA 98053,2014,7,720500.0,767741.75
1.0,0.75,1170,14149,1.0,0,0,5,880,290,1962,0,Enumclaw,WA 98022,2014,5,275000.0,261494.76564102003
2.0,1.0,710,7200,1.0,0,0,3,710,0,1943,2002,Seattle,WA 98178,2014,6,215000.0,246431.76955128997
3.0,1.75,2060,12558,1.0,0,0,4,1350,710,1984,0,Redmond,WA 98052,2014,5,625000.0,524998.0527950301
2.0,2.5,1380,953,3.0,0,0,3,1380,0,2006,0,Seattle,WA 98103,2014,6,549000.0,509301.22222222
4.0,2.25,2350,8140,1.0,0,0,4,1430,920,1977,0,Bellevue,WA 98006,2014,5,555000.0,667593.39
3.0,1.0,900,7500,1.0,0,0,4,900,0,1972,0,Kirkland,WA 98034,2014,5,304000.0,317573.3
5.0,2.0,2310,13430,1.5,0,0,4,2310,0,1966,0,Bellevue,WA 98004,2014,7,850000.0,909332.76
3.0,1.75,3320,478288,1.5,0,3,4,2260,1060,1933,1982,Enumclaw,WA 98022,2014,6,667000.0,662632.6
5.0,3.0,4530,258746,1.5,0,0,4,3200,1330,2003,0,Woodinville,WA 98077,2014,5,950000.0,802690.56333333
4.0,2.25,2050,9583,2.0,0,2,3,1770,280,1965,1993,Des Moines,WA 98198,2014,6,386000.0,405813.57428572
5.0,3.0,3040,9601,1.0,0,0,5,1970,1070,1968,0,Mercer Island,WA 98040,2014,5,830000.0,730783.0
5.0,3.5,3840,8279,2.0,0,0,3,3840,0,2001,0,Sammamish,WA 98074,2014,7,875000.0,829363.50111111
3.0,1.75,1320,2500,1.0,0,0,3,870,450,1918,0,Seattle,WA 98105,2014,7,530000.0,450203.56944444
3.0,2.0,1480,5000,1.0,0,0,4,750,730,1928,0,Seattle,WA 98117,2014,5,595000.0,515709.17846154
2.0,2.0,2280,6815,1.0,0,0,3,2280,0,2002,0,Redmond,WA 98053,2014,6,835000.0,690595.33333333
3.0,3.25,1470,1235,2.0,0,0,3,1180,290,2008,0,Seattle,WA 98108,2014,6,300000.0,399011.38
4.0,3.5,3900,8391,2.0,0,0,3,3900,0,2006,0,Kirkland,WA 98033,2014,5,1040000.0,937586.0
2.0,1.0,1120,9912,1.0,0,0,4,1120,0,1980,0,Vashon,WA 98070,2014,5,256500.0,264864.80333333
3.0,1.0,1080,6000,1.0,0,0,4,1080,0,1952,0,Shoreline,WA 98133,2014,6,275000.0,283104.62555557
3.0,2.0,1340,1384,3.0,0,0,3,1340,0,2008,0,Seattle,WA 98103,2014,5,376000.0,403586.05555554
4.0,3.5,3200,3250,2.0,0,0,3,2670,530,2007,0,Issaquah,WA 98029,2014,6,795000.0,784673.6492307701
2.0,1.25,860,1277,2.0,0,0,3,860,0,2007,0,Seattle,WA 98144,2014,5,321950.0,331733.95782609
3.0,2.0,1650,6150,2.0,0,0,4,1650,0,1926,1993,Seattle,WA 98116,2014,5,590000.0,629457.5
2.0,1.0,1020,7920,1.0,0,0,3,1020,0,1939,1969,Seattle,WA 98108,2014,7,235000.0,282597.75
2.0,1.0,710,1136,2.0,0,0,4,710,0,1943,0,Seattle,WA 98102,2014,6,403950.0,387827.9
3.0,1.75,2050,16313,1.0,0,0,2,2050,0,1973,0,Mercer Island,WA 98040,2014,7,623000.0,747479.0
2.0,0.75,850,7710,1.0,0,2,5,550,300,1909,1988,Seattle,WA 98108,2014,5,360000.0,306035.3725
2.0,1.0,800,5000,1.0,0,0,3,800,0,1906,2014,Seattle,WA 98107,2014,6,435000.0,356480.53774930997
4.0,2.75,3110,49765,1.0,0,0,4,3110,0,1958,1972,Black Diamond,WA 98010,2014,6,531500.0,726142.95
3.0,1.5,1530,7200,1.0,0,0,3,1530,0,1975,0,Lake Forest Park,WA 98155,2014,6,375500.0,354590.2
4.0,3.75,4130,12320,2.0,0,0,3,4130,0,2001,0,Newcastle,WA 98059,2014,6,1070000.0,866001.65
4.0,1.75,1870,5200,2.0,0,0,4,1200,670,1937,0,Seattle,WA 98115,2014,6,594000.0,504716.72
3.0,2.5,1413,3600,2.0,0,0,3,1413,0,2011,0,Kent,WA 98031,2014,6,286800.0,276122.79779761
3.0,2.5,2460,108900,1.0,0,0,4,1860,600,1977,0,Issaquah,WA 98027,2014,5,600000.0,512643.07333333
5.0,2.5,2690,5557,2.0,0,0,3,2690,0,2012,1912,Seattle,WA 98178,2014,6,279000.0,559795.59
4.0,3.0,3600,9200,1.0,0,4,4,2100,1500,1976,1992,Bellevue,WA 98008,2014,5,1075000.0,718910.5
4.0,2.75,3610,8580,2.0,0,0,3,3610,0,2014,0,Kirkland,WA 98033,2014,6,982000.0,982928.18
3.0,2.5,2400,9701,1.0,0,0,3,2400,0,1990,2009,Federal Way,WA 98023,2014,5,355000.0,357278.92
4.0,2.25,2070,39446,1.0,0,0,3,1470,600,1977,2004,Lake Forest Park,WA 98155,2014,6,445800.0,471093.0
3.0,2.0,1450,2400,1.5,0,0,3,1450,0,1900,2003,Seattle,WA 98107,2014,5,490000.0,501126.04
2.0,1.0,660,5000,1.0,0,0,3,660,0,1915,0,Seattle,WA 98106,2014,6,175000.0,237921.35
2.0,1.75,2860,59612,1.0,1,4,3,1510,1350,1948,2003,Federal Way,WA 98023,2014,5,503000.0,583623.6
3.0,1.75,2030,17100,1.0,0,0,4,2030,0,1953,1983,Burien,WA 98166,2014,6,440000.0,395595.01928572
6.0,5.0,3440,4500,2.0,0,0,3,3280,160,2007,0,Renton,WA 98057,2014,6,495000.0,664059.12835165
3.0,1.5,1630,7475,1.0,0,1,3,1160,470,1940,1996,Seattle,WA 98115,2014,5,650000.0,485094.66666667
3.0,2.5,1730,3600,2.0,0,0,3,1730,0,2014,0,Seattle,WA 98146,2014,6,328423.0,429610.905
3.0,1.75,2340,4206,1.0,0,0,5,1170,1170,1917,0,Seattle,WA 98144,2014,6,640000.0,628734.30857142
2.0,1.0,790,5240,1.0,0,0,4,790,0,1925,1968,Seattle,WA 98118,2014,5,299800.0,314292.96705687995
3.0,1.75,1960,8136,1.0,0,0,3,980,980,1948,1994,Seattle,WA 98106,2014,5,340000.0,402276.09615384997
3.0,2.0,1760,6875,1.0,0,0,4,1760,0,1967,0,Woodinville,WA 98072,2014,7,400000.0,386090.0
2.0,1.0,1680,6500,1.0,0,0,4,1140,540,1941,1998,Seattle,WA 98136,2014,5,515000.0,399921.11666667
2.0,2.25,1330,10838,2.0,0,0,3,1330,0,1985,0,Kenmore,WA 98028,2014,6,355000.0,341551.2375
3.0,2.25,2270,8876,1.0,0,0,3,1380,890,1977,2004,Renton,WA 98058,2014,5,332000.0,371722.74999999
4.0,2.0,3140,10437,1.0,0,0,4,2040,1100,1959,0,Mercer Island,WA 98040,2014,6,925000.0,826018.70666666
2.0,2.5,1360,1349,2.0,0,0,3,1050,310,1997,0,Seattle,WA 98112,2014,5,553650.0,500401.0
4.0,2.5,1850,50662,1.0,0,0,3,1430,420,1978,0,Redmond,WA 98052,2014,5,830000.0,553110.84285716
3.0,1.75,1160,22470,1.0,0,0,4,1160,0,1976,1992,Kenmore,WA 98028,2014,6,329333.333333,302145.50230769
6.0,3.0,3110,5000,1.5,0,0,5,1810,1300,1921,0,Seattle,WA 98103,2014,6,725000.0,675072.63
4.0,2.5,1910,5000,2.0,0,0,3,1910,0,2005,0,Maple Valley,WA 98038,2014,6,297500.0,309631.4375
3.0,2.5,2860,4442,2.0,0,0,3,2860,0,2000,0,Seattle,WA 98199,2014,6,799000.0,758064.7499999701
4.0,2.5,2710,5880,2.0,0,0,3,2710,0,1998,2006,Auburn,WA 98092,2014,5,370000.0,359506.30307692
3.0,2.5,2600,10092,1.0,0,0,3,2600,0,1984,0,Sammamish,WA 98074,2014,5,625000.0,621399.21416666
3.0,1.75,1400,6300,1.0,0,0,3,1400,0,1998,2006,Enumclaw,WA 98022,2014,6,235000.0,247310.31666666002
2.0,1.25,1240,2150,2.0,0,0,3,1240,0,2014,0,Seattle,WA 98117,2014,6,545000.0,490615.9668254
4.0,1.75,1900,8250,1.0,0,0,4,950,950,1955,2009,Bellevue,WA 98006,2014,5,542000.0,422177.33333341
3.0,2.25,1860,11227,2.0,0,0,3,1860,0,1995,0,Maple Valley,WA 98038,2014,6,330000.0,346241.26444444
2.0,1.0,900,9260,1.0,0,0,3,900,0,1946,0,Seattle,WA 98107,2014,7,496000.0,263687.75
0.0,0.0,3064,4764,3.5,0,2,3,3064,0,1990,2009,Seattle,WA 98102,2014,6,1095000.0,795411.27733333
2.0,1.0,910,4635,1.0,0,0,4,910,0,1905,0,Seattle,WA 98107,2014,6,425000.0,383676.07560387
3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,Sammamish,WA 98074,2014,5,560000.0,536125.9
4.0,2.0,2530,5650,1.5,0,0,4,1910,620,1910,0,Seattle,WA 98116,2014,7,631500.0,748375.54
3.0,1.75,1640,10762,1.0,0,0,3,1130,510,1988,2000,Covington,WA 98042,2014,5,226500.0,283946.59333333
3.0,2.5,2080,4828,2.0,0,0,3,2080,0,2002,0,Covington,WA 98042,2014,6,290000.0,300464.98125
4.0,2.5,3240,13978,1.0,0,0,3,1860,1380,1977,2004,Sammamish,WA 98074,2014,5,635700.0,764905.00861111
3.0,2.5,1769,7324,2.0,0,0,3,1769,0,2012,1912,Auburn,WA 98092,2014,6,334888.0,279131.4066666666
5.0,2.5,3200,6455,2.0,0,0,3,3200,0,2009,0,Snoqualmie,WA 98065,2014,5,675000.0,611091.95
2.0,2.25,1280,835,2.0,0,0,3,1080,200,2009,0,Seattle,WA 98118,2014,5,370000.0,383492.62000001996
3.0,2.0,1830,9152,1.0,0,0,5,1830,0,1959,0,Bellevue,WA 98006,2014,5,550000.0,590642.33333334
4.0,2.5,2610,4595,2.0,0,0,3,2610,0,2008,0,Kenmore,WA 98028,2014,6,535000.0,517190.85666667
3.0,2.0,1110,7231,1.0,0,0,4,1110,0,1991,0,Kent,WA 98031,2014,7,223000.0,240124.70333328002
3.0,1.5,1390,48257,1.0,0,0,3,1390,0,1922,2013,Fall City,WA 98024,2014,5,275000.0,257733.41666666002
4.0,1.0,1350,11507,1.0,0,0,3,1350,0,1966,1963,Renton,WA 98055,2014,5,200000.0,238133.81
4.0,3.75,4740,126759,2.0,0,0,4,4740,0,1991,0,Issaquah,WA 98027,2014,7,1049000.0,994049.99
3.0,1.0,1230,10350,1.0,0,0,4,1230,0,1957,2001,Renton,WA 98055,2014,5,250000.0,249308.58076920998
4.0,2.75,2020,10720,1.0,0,0,4,1420,600,1976,1992,Redmond,WA 98052,2014,6,555000.0,526790.0
3.0,1.0,1220,13000,1.0,0,0,4,1220,0,1955,2009,Shoreline,WA 98133,2014,5,300000.0,303304.8
2.0,1.0,1240,27042,1.0,0,1,3,1000,240,1943,2002,Vashon,WA 98070,2014,6,355000.0,202436.28119658
3.0,1.75,1330,9200,1.0,0,0,4,1330,0,1973,0,Auburn,WA 98092,2014,6,183000.0,222462.4975
3.0,2.5,2370,5353,2.0,0,0,3,2370,0,2009,0,Duvall,WA 98019,2014,6,429900.0,440419.26
2.0,2.0,1470,3128,2.0,0,0,3,1470,0,2005,0,Maple Valley,WA 98038,2014,5,241000.0,280201.61666666664
3.0,2.5,1940,3211,2.0,0,0,3,1940,0,2009,0,Issaquah,WA 98027,2014,5,555000.0,516321.56
3.0,2.5,2030,8398,2.0,0,0,4,2030,0,1975,0,Bellevue,WA 98008,2014,5,700000.0,546171.33333333
4.0,2.25,1820,20349,1.0,0,0,5,1340,480,1977,0,Woodinville,WA 98072,2014,5,465000.0,400038.13833333
4.0,2.5,2400,6137,2.0,0,0,3,2400,0,1990,2009,Sammamish,WA 98074,2014,7,575000.0,592807.71333333
5.0,2.0,2700,10875,1.0,0,0,4,1540,1160,1962,0,Bellevue,WA 98007,2014,6,580000.0,761109.75
3.0,1.0,1050,8498,1.0,0,0,4,1050,0,1959,0,Kent,WA 98031,2014,6,249000.0,204118.93333333
4.0,2.75,2600,2750,1.5,0,0,3,1620,980,1936,0,Seattle,WA 98109,2014,5,840000.0,795523.0
5.0,5.0,5774,31675,1.0,0,2,3,4490,1284,1984,0,Federal Way,WA 98003,2014,5,740000.0,794886.56
5.0,3.25,4500,9648,2.0,0,4,4,3000,1500,1968,0,Seattle,WA 98125,2014,6,860000.0,624922.58
4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,Renton,WA 98059,2014,5,625000.0,523446.30166669
4.0,2.5,3060,7140,2.0,0,0,3,3060,0,2006,0,Issaquah,WA 98029,2014,6,826000.0,709268.2725
4.0,2.75,2910,6334,2.0,0,0,3,2910,0,2013,1923,North Bend,WA 98045,2014,7,499990.0,523271.21166667
4.0,2.5,3760,29224,2.0,0,0,3,3760,0,1987,2000,Redmond,WA 98052,2014,6,1010000.0,845381.16
4.0,2.5,1630,4473,2.0,0,0,3,1630,0,2003,0,Maple Valley,WA 98038,2014,5,312900.0,274078.32
4.0,1.0,1450,8960,1.0,0,0,3,1450,0,1943,2002,Seattle,WA 98146,2014,5,244000.0,378840.08888889
2.0,0.75,1392,43710,1.5,0,0,4,1392,0,1978,2000,Vashon,WA 98070,2014,6,350000.0,289390.425
3.0,1.75,2920,9370,1.0,0,0,4,1620,1300,1981,0,Bellevue,WA 98006,2014,6,650000.0,644571.8125
3.0,2.0,2590,108900,2.0,0,0,3,1980,610,1988,2000,Maple Valley,WA 98038,2014,5,503000.0,505260.0
4.0,1.75,1950,13320,1.0,0,0,4,1370,580,1969,0,Bellevue,WA 98007,2014,5,635000.0,592794.91666665
4.0,2.5,3180,21904,2.0,0,3,3,3180,0,2000,0,Renton,WA 98059,2014,5,736500.0,585507.4454376701
4.0,2.5,1810,6509,2.0,0,0,3,1810,0,1994,0,Kent,WA 98042,2014,5,270000.0,273433.89875
